questionId,deviceId,answer,questionnaireId
1,24:D7:EB:EF:8B:BA,1,1
1,24:D7:EB:EF:60:78,4,1
1,24:D7:EB:EF:56:05,4,1
1,24:D7:EB:EF:55:78,4,1
1,24:D7:EB:EF:4E:15,4,1
1,24:D7:EB:EF:8C:10,4,1
1,24:D7:EB:EF:74:90,3,1
1,24:D7:EB:EF:70:4A,3,1
1,24:D7:EB:EF:8C:CF,3,1
1,24:D7:EB:EF:89:E9,2,1
1,24:D7:EB:EF:55:92,3,1
1,24:D7:EB:EF:56:41,4,1
1,24:D7:EB:EF:60:32,4,1
1,24:D7:EB:EF:4E:49,1,1
1,24:D7:EB:EF:5B:DD,3,1
1,24:D7:EB:EF:71:35,4,1
1,8C:AA:B5:D3:BA:DB,2,1
1,24:D7:EB:EF:5B:D7,4,1
1,24:D7:EB:EF:52:3B,2,1
1,24:D7:EB:EF:5F:BE,3,1
2,24:D7:EB:EF:8B:BA,2,1
2,24:D7:EB:EF:60:78,3,1
2,24:D7:EB:EF:56:05,2,1
2,24:D7:EB:EF:55:78,4,1
2,24:D7:EB:EF:4E:15,1,1
2,24:D7:EB:EF:8C:10,4,1
3,24:D7:EB:EF:74:90,1,1
3,24:D7:EB:EF:70:4A,2,1
3,24:D7:EB:EF:8C:CF,1,1
3,24:D7:EB:EF:89:E9,4,1
3,24:D7:EB:EF:55:92,4,1
3,24:D7:EB:EF:56:41,1,1
3,24:D7:EB:EF:60:32,4,1
3,24:D7:EB:EF:4E:49,3,1
3,24:D7:EB:EF:5B:DD,3,1
3,24:D7:EB:EF:71:35,3,1
3,8C:AA:B5:D3:BA:DB,3,1
3,24:D7:EB:EF:5B:D7,1,1
3,24:D7:EB:EF:52:3B,2,1
3,24:D7:EB:EF:5F:BE,1,1
